5 Minutes,Flow (Veh/5 Minutes)
1-6-2021 0:00,33
1-6-2021 0:04,20
1-6-2021 0:09,20
1-6-2021 0:15,29
1-6-2021 0:20,20
1-6-2021 0:24,20
1-6-2021 0:29,19
1-6-2021 0:35,26
1-6-2021 0:40,13
1-6-2021 0:45,15
1-6-2021 0:49,13
1-6-2021 0:54,14
1-6-2021 1:00,14
1-6-2021 1:05,14
1-6-2021 1:09,13
1-6-2021 1:14,13
1-6-2021 1:20,17
1-6-2021 1:25,10
1-6-2021 1:30,20
1-6-2021 1:34,16
1-6-2021 1:39,13
1-6-2021 1:45,14
1-6-2021 1:50,15
1-6-2021 1:54,10
1-6-2021 1:59,14
1-6-2021 2:05,18
1-6-2021 2:10,13
1-6-2021 2:15,11
1-6-2021 2:19,11
1-6-2021 2:24,11
1-6-2021 2:30,11
1-6-2021 2:35,14
1-6-2021 2:39,11
1-6-2021 2:44,13
1-6-2021 2:50,13
1-6-2021 2:55,12
1-6-2021 3:00,12
1-6-2021 3:04,8
1-6-2021 3:09,10
1-6-2021 3:15,16
1-6-2021 3:20,12
1-6-2021 3:24,9
1-6-2021 3:29,12
1-6-2021 3:35,13
1-6-2021 3:40,12
1-6-2021 3:45,9
1-6-2021 3:49,14
1-6-2021 3:54,12
1-6-2021 4:00,10
1-6-2021 4:05,15
1-6-2021 4:09,12
1-6-2021 4:14,16
1-6-2021 4:20,17
1-6-2021 4:25,13
1-6-2021 4:30,12
1-6-2021 4:34,17
1-6-2021 4:39,16
1-6-2021 4:45,16
1-6-2021 4:50,16
1-6-2021 4:54,13
1-6-2021 4:59,26
1-6-2021 5:05,20
1-6-2021 5:10,15
1-6-2021 5:15,23
1-6-2021 5:19,22
1-6-2021 5:24,20
1-6-2021 5:30,26
1-6-2021 5:35,27
1-6-2021 5:39,34
1-6-2021 5:44,31
1-6-2021 5:50,34
1-6-2021 5:55,27
1-6-2021 6:00,27
1-6-2021 6:04,48
1-6-2021 6:09,41
1-6-2021 6:15,29
1-6-2021 6:20,28
1-6-2021 6:24,53
1-6-2021 6:29,38
1-6-2021 6:35,56
1-6-2021 6:40,57
1-6-2021 6:45,38
1-6-2021 6:49,48
1-6-2021 6:54,52
1-6-2021 7:00,41
1-6-2021 7:05,55
1-6-2021 7:09,43
1-6-2021 7:14,55
1-6-2021 7:20,67
1-6-2021 7:25,69
1-6-2021 7:30,60
1-6-2021 7:34,79
1-6-2021 7:39,64
1-6-2021 7:45,69
1-6-2021 7:50,65
1-6-2021 7:54,70
1-6-2021 7:59,65
1-6-2021 8:05,46
1-6-2021 8:10,72
1-6-2021 8:15,64
1-6-2021 8:19,68
1-6-2021 8:24,63
1-6-2021 8:30,55
1-6-2021 8:35,66
1-6-2021 8:39,70
1-6-2021 8:44,69
1-6-2021 8:50,43
1-6-2021 8:55,41
1-6-2021 9:00,68
1-6-2021 9:04,62
1-6-2021 9:09,71
1-6-2021 9:15,76
1-6-2021 9:20,76
1-6-2021 9:24,74
1-6-2021 9:29,68
1-6-2021 9:35,64
1-6-2021 9:40,60
1-6-2021 9:45,61
1-6-2021 9:49,58
1-6-2021 9:54,59
1-6-2021 10:00,63
1-6-2021 10:05,67
1-6-2021 10:09,64
1-6-2021 10:14,55
1-6-2021 10:20,68
1-6-2021 10:25,55
1-6-2021 10:30,62
1-6-2021 10:34,74
1-6-2021 10:39,63
1-6-2021 10:45,55
1-6-2021 10:50,69
1-6-2021 10:54,65
1-6-2021 10:59,69
1-6-2021 11:05,66
1-6-2021 11:10,63
1-6-2021 11:15,65
1-6-2021 11:19,67
1-6-2021 11:24,68
1-6-2021 11:30,63
1-6-2021 11:35,71
1-6-2021 11:39,55
1-6-2021 11:44,59
1-6-2021 11:50,64
1-6-2021 11:55,59
1-6-2021 12:00,69
1-6-2021 12:04,76
1-6-2021 12:09,64
1-6-2021 12:15,69
1-6-2021 12:20,76
1-6-2021 12:24,61
1-6-2021 12:29,60
1-6-2021 12:35,74
1-6-2021 12:40,62
1-6-2021 12:45,68
1-6-2021 12:49,80
1-6-2021 12:54,65
1-6-2021 13:00,60
1-6-2021 13:05,78
1-6-2021 13:09,60
1-6-2021 13:14,55
1-6-2021 13:20,77
1-6-2021 13:25,55
1-6-2021 13:30,62
1-6-2021 13:34,68
1-6-2021 13:39,61
1-6-2021 13:45,65
1-6-2021 13:50,74
1-6-2021 13:54,63
1-6-2021 13:59,66
1-6-2021 14:05,76
1-6-2021 14:10,58
1-6-2021 14:15,68
1-6-2021 14:19,76
1-6-2021 14:24,62
1-6-2021 14:30,65
1-6-2021 14:35,63
1-6-2021 14:39,78
1-6-2021 14:44,65
1-6-2021 14:50,71
1-6-2021 14:55,73
1-6-2021 15:00,71
1-6-2021 15:04,68
1-6-2021 15:09,76
1-6-2021 15:15,62
1-6-2021 15:20,72
1-6-2021 15:24,79
1-6-2021 15:29,69
1-6-2021 15:35,72
1-6-2021 15:40,85
1-6-2021 15:45,67
1-6-2021 15:49,72
1-6-2021 15:54,76
1-6-2021 16:00,60
1-6-2021 16:05,72
1-6-2021 16:09,74
1-6-2021 16:14,61
1-6-2021 16:20,67
1-6-2021 16:25,49
1-6-2021 16:30,55
1-6-2021 16:34,54
1-6-2021 16:39,53
1-6-2021 16:45,60
1-6-2021 16:50,60
1-6-2021 16:54,73
1-6-2021 16:59,48
1-6-2021 17:05,62
1-6-2021 17:10,73
1-6-2021 17:15,65
1-6-2021 17:19,69
1-6-2021 17:24,63
1-6-2021 17:30,64
1-6-2021 17:35,68
1-6-2021 17:39,69
1-6-2021 17:44,63
1-6-2021 17:50,69
1-6-2021 17:55,77
1-6-2021 18:00,60
1-6-2021 18:04,47
1-6-2021 18:09,69
1-6-2021 18:15,69
1-6-2021 18:20,70
1-6-2021 18:24,70
1-6-2021 18:29,57
1-6-2021 18:35,62
1-6-2021 18:40,73
1-6-2021 18:45,60
1-6-2021 18:49,62
1-6-2021 18:54,66
1-6-2021 19:00,62
1-6-2021 19:05,55
1-6-2021 19:09,63
1-6-2021 19:14,60
1-6-2021 19:20,61
1-6-2021 19:25,50
1-6-2021 19:30,53
1-6-2021 19:34,62
1-6-2021 19:39,56
1-6-2021 19:45,47
1-6-2021 19:50,55
1-6-2021 19:54,57
1-6-2021 19:59,62
1-6-2021 20:05,54
1-6-2021 20:10,52
1-6-2021 20:15,53
1-6-2021 20:19,48
1-6-2021 20:24,46
1-6-2021 20:30,49
1-6-2021 20:35,56
1-6-2021 20:39,34
1-6-2021 20:44,49
1-6-2021 20:50,52
1-6-2021 20:55,32
1-6-2021 21:00,34
1-6-2021 21:04,44
1-6-2021 21:09,42
1-6-2021 21:15,48
1-6-2021 21:20,47
1-6-2021 21:24,31
1-6-2021 21:29,41
1-6-2021 21:35,45
1-6-2021 21:40,36
1-6-2021 21:45,39
1-6-2021 21:49,41
1-6-2021 21:54,31
1-6-2021 22:00,34
1-6-2021 22:05,40
1-6-2021 22:09,30
1-6-2021 22:14,33
1-6-2021 22:20,31
1-6-2021 22:25,32
1-6-2021 22:30,35
1-6-2021 22:34,34
1-6-2021 22:39,27
1-6-2021 22:45,34
1-6-2021 22:50,34
1-6-2021 22:54,31
1-6-2021 22:59,33
1-6-2021 23:05,35
1-6-2021 23:10,34
1-6-2021 23:15,37
1-6-2021 23:19,37
1-6-2021 23:24,21
1-6-2021 23:30,36
1-6-2021 23:35,45
1-6-2021 23:39,42
1-6-2021 23:44,38
1-6-2021 23:50,38
1-6-2021 23:55,19
1-7-2021 0:00,32
1-7-2021 0:04,25
1-7-2021 0:09,25
1-7-2021 0:15,24
1-7-2021 0:20,20
1-7-2021 0:24,16
1-7-2021 0:29,21
1-7-2021 0:35,25
1-7-2021 0:40,19
1-7-2021 0:45,19
1-7-2021 0:49,14
1-7-2021 0:54,16
1-7-2021 1:00,21
1-7-2021 1:05,13
1-7-2021 1:09,18
1-7-2021 1:14,11
1-7-2021 1:20,13
1-7-2021 1:25,11
1-7-2021 1:30,20
1-7-2021 1:34,18
1-7-2021 1:39,13
1-7-2021 1:45,13
1-7-2021 1:50,17
1-7-2021 1:54,9
1-7-2021 1:59,13
1-7-2021 2:05,12
1-7-2021 2:10,10
1-7-2021 2:15,15
1-7-2021 2:19,11
1-7-2021 2:24,12
1-7-2021 2:30,16
1-7-2021 2:35,13
1-7-2021 2:39,12
1-7-2021 2:44,12
1-7-2021 2:50,14
1-7-2021 2:55,9
1-7-2021 3:00,13
1-7-2021 3:04,10
1-7-2021 3:09,15
1-7-2021 3:15,13
1-7-2021 3:20,13
1-7-2021 3:24,12
1-7-2021 3:29,20
1-7-2021 3:35,16
1-7-2021 3:40,13
1-7-2021 3:45,16
1-7-2021 3:49,13
1-7-2021 3:54,13
1-7-2021 4:00,13
1-7-2021 4:05,12
1-7-2021 4:09,11
1-7-2021 4:14,13
1-7-2021 4:20,15
1-7-2021 4:25,14
1-7-2021 4:30,18
1-7-2021 4:34,20
1-7-2021 4:39,13
1-7-2021 4:45,15
1-7-2021 4:50,27
1-7-2021 4:54,20
1-7-2021 4:59,21
1-7-2021 5:05,20
1-7-2021 5:10,23
1-7-2021 5:15,27
1-7-2021 5:19,27
1-7-2021 5:24,23
1-7-2021 5:30,28
1-7-2021 5:35,33
1-7-2021 5:39,41
1-7-2021 5:44,34
1-7-2021 5:50,37
1-7-2021 5:55,31
1-7-2021 6:00,27
1-7-2021 6:04,43
1-7-2021 6:09,39
1-7-2021 6:15,48
1-7-2021 6:20,42
1-7-2021 6:24,50
1-7-2021 6:29,48
1-7-2021 6:35,50
1-7-2021 6:40,47
1-7-2021 6:45,57
1-7-2021 6:49,52
1-7-2021 6:54,43
1-7-2021 7:00,49
1-7-2021 7:05,51
1-7-2021 7:09,55
1-7-2021 7:14,48
1-7-2021 7:20,71
1-7-2021 7:25,63
1-7-2021 7:30,62
1-7-2021 7:34,72
1-7-2021 7:39,74
1-7-2021 7:45,74
1-7-2021 7:50,73
1-7-2021 7:54,76
1-7-2021 7:59,75
1-7-2021 8:05,77
1-7-2021 8:10,71
1-7-2021 8:15,75
1-7-2021 8:19,81
1-7-2021 8:24,75
1-7-2021 8:30,61
1-7-2021 8:35,80
1-7-2021 8:39,74
1-7-2021 8:44,62
1-7-2021 8:50,71
1-7-2021 8:55,70
1-7-2021 9:00,68
1-7-2021 9:04,69
1-7-2021 9:09,66
1-7-2021 9:15,68
1-7-2021 9:20,65
1-7-2021 9:24,51
1-7-2021 9:29,63
1-7-2021 9:35,72
1-7-2021 9:40,66
1-7-2021 9:45,66
1-7-2021 9:49,62
1-7-2021 9:54,62
1-7-2021 10:00,64
1-7-2021 10:05,66
1-7-2021 10:09,65
1-7-2021 10:14,73
1-7-2021 10:20,76
1-7-2021 10:25,59
1-7-2021 10:30,74
1-7-2021 10:34,67
1-7-2021 10:39,57
1-7-2021 10:45,62
1-7-2021 10:50,65
1-7-2021 10:54,62
1-7-2021 10:59,69
1-7-2021 11:05,73
1-7-2021 11:10,57
1-7-2021 11:15,71
1-7-2021 11:19,76
1-7-2021 11:24,61
1-7-2021 11:30,59
1-7-2021 11:35,74
1-7-2021 11:39,61
1-7-2021 11:44,68
1-7-2021 11:50,71
1-7-2021 11:55,58
1-7-2021 12:00,67
1-7-2021 12:04,71
1-7-2021 12:09,64
1-7-2021 12:15,61
1-7-2021 12:20,71
1-7-2021 12:24,59
1-7-2021 12:29,65
1-7-2021 12:35,59
1-7-2021 12:40,66
1-7-2021 12:45,79
1-7-2021 12:49,67
1-7-2021 12:54,64
1-7-2021 13:00,69
1-7-2021 13:05,61
1-7-2021 13:09,60
1-7-2021 13:14,73
1-7-2021 13:20,75
1-7-2021 13:25,51
1-7-2021 13:30,70
1-7-2021 13:34,80
1-7-2021 13:39,60
1-7-2021 13:45,69
1-7-2021 13:50,62
1-7-2021 13:54,57
1-7-2021 13:59,68
1-7-2021 14:05,60
1-7-2021 14:10,60
1-7-2021 14:15,70
1-7-2021 14:19,80
1-7-2021 14:24,64
1-7-2021 14:30,72
1-7-2021 14:35,75
1-7-2021 14:39,70
1-7-2021 14:44,55
1-7-2021 14:50,55
1-7-2021 14:55,72
1-7-2021 15:00,55
1-7-2021 15:04,80
1-7-2021 15:09,55
1-7-2021 15:15,67
1-7-2021 15:20,76
